,training_loss,train_accuracies,val_losses,val_accuracies
0,0.28496990844768977,0.9156266956049919,0.1884840844402104,0.9415322580645161
1,0.13538572191298695,0.9600345903418339,0.14556211470991767,0.9516129032258065
2,0.09838601583206305,0.9700386597938144,0.109986909991208,0.9657258064516129
3,0.07622059842456856,0.9762445740640261,0.0999709418000293,0.9707661290322581
4,0.06287058602087209,0.9798392566467715,0.09439257851125328,0.9717741935483871
5,0.05285064329830754,0.9830269940314704,0.10006005073165246,0.969758064516129
6,0.04491400688445102,0.9858586543678785,0.07793597670291949,0.9758064516129032
7,0.036915567189532664,0.988147721106891,0.07613574259478377,0.9747983870967742
8,0.03138937629515952,0.9898602821486706,0.07338589951308856,0.9818548387096774
9,0.02632725362244279,0.9915558871405318,0.06368995098472992,0.9818548387096774
10,0.022365697234277396,0.9929632392837765,0.06437859988437601,0.9838709677419355
11,0.01828779349510628,0.9942349430276722,0.07551730623512684,0.9778225806451613
12,0.015274346669229359,0.9956931633206728,0.07211312808019645,0.9808467741935484
13,0.011873887424637943,0.9967274823657081,0.07214588013637578,0.9848790322580645
14,0.009623712256049504,0.9976939772110689,0.07315809964408522,0.9798387096774194
15,0.007763445597913858,0.9981517905588714,0.07684237934473122,0.9818548387096774
16,0.006264617009739706,0.9986265599565926,0.06847834759371395,0.9818548387096774
17,0.004908246676301173,0.9992030656538253,0.0697108081597839,0.9808467741935484
18,0.0036406990520675025,0.9994404503526858,0.07571388663255887,0.9798387096774194
19,0.00256151428255646,0.9997795713510581,0.07110982843043305,0.9838709677419355
20,0.002166121420879306,0.9998304395008139,0.07539029380070349,0.9838709677419355
21,0.0020143977775931134,0.9997965274009767,0.07789857333382309,0.9808467741935484
22,0.0015491180973237768,0.9998982637004883,0.06963478259812267,0.9828629032258065
23,0.0012162050727763047,0.9999830439500814,0.07308839043303139,0.9818548387096774
24,0.0010659095567095527,0.9999830439500814,0.07174857818740929,0.9828629032258065
