,training_loss,train_accuracies,val_losses,val_accuracies
0,0.2174910391612077,0.9328370862723819,0.11860272382570705,0.9637096774193549
1,0.10362321731402892,0.9671730873575691,0.11563110537035325,0.9616935483870968
2,0.07655545503853435,0.9755324199674443,0.08961265240749354,0.9717741935483871
3,0.06100967209199221,0.9806531470428649,0.1034267173285016,0.9707661290322581
4,0.050646272228146307,0.9840274009766685,0.0958895057776462,0.969758064516129
5,0.043782095576941335,0.9865368963646229,0.08200557243979488,0.9778225806451613
6,0.03884537645896303,0.9877746880086815,0.11031452733443023,0.9707661290322581
7,0.03554668294283478,0.9891142159522518,0.12385160734513354,0.96875
8,0.034102969604876444,0.9893855127509495,0.10598003874525481,0.9747983870967742
9,0.030181382443826222,0.9908267769940314,0.1252712856307666,0.9747983870967742
10,0.02891235109663393,0.9918610960390667,0.11004517978807983,0.9737903225806451
11,0.028085408526747218,0.9919119641888225,0.1583035963011522,0.9707661290322581
12,0.02726735430985076,0.9920984807379273,0.1331520329613717,0.9737903225806451
13,0.02549118614910357,0.9929801953336951,0.13352990796871944,0.9778225806451613
14,0.02333043126518117,0.9939466901790559,0.1592260433251054,0.9727822580645161
15,0.0253582210067583,0.9932854042322301,0.16916373594177067,0.9758064516129032
16,0.021580090414225712,0.9942688551275095,0.12270830211780619,0.9758064516129032
17,0.020363431009681708,0.9944892837764514,0.15011076158813885,0.9737903225806451
18,0.02426738321251083,0.9937262615301139,0.2240917751531281,0.967741935483871
19,0.020693553051465398,0.9948453608247423,0.14911983039373433,0.9768145161290323
20,0.018413528643285427,0.9947944926749864,0.1684546231456283,0.9747983870967742
21,0.021148935717622063,0.9949640531741726,0.1524382138007693,0.9737903225806451
22,0.0200204041451946,0.9954388225718936,0.1439950250959067,0.9798387096774194
23,0.022224342203692526,0.9952183939229517,0.13504397677859636,0.9818548387096774
24,0.018340985565097247,0.9956592512208355,0.1790718280939165,0.9768145161290323
